"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","LocID","n","n0"
"150",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","HK",1,1
"151",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PN",1,1
"152",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","IV",1,1
"153",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PC",1,1
"154",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PG",1,1
"155",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","HD",1,1
"156",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","PB",1,1
"157",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","HZ",1,1
"158",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","II",1,1
"159",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","IX",1,1
"160",10,NA,353,NA,"Motor cruiser",17,"Hard","Very Poor","IY",1,1
"161",11,34,20,12.5,"Fish",15,"Hard","Very Poor","PA",2,2
"162",11,34,20,12.5,"Fish",15,"Hard","Very Poor","HAB",1,1
"163",11,34,20,12.5,"Fish",15,"Hard","Very Poor","IP",1,1
"164",11,34,20,12.5,"Fish",15,"Hard","Very Poor","HP",1,1
"165",11,34,20,12.5,"Fish",15,"Hard","Very Poor","HD",3,2
"166",11,34,20,12.5,"Fish",15,"Hard","Very Poor","IL",1,1
"167",11,34,20,12.5,"Fish",15,"Hard","Very Poor","IQ",1,1
"168",11,34,20,12.5,"Fish",15,"Hard","Very Poor","IH",1,1
"169",11,34,20,12.5,"Fish",15,"Hard","Very Poor","II",1,1
"170",11,34,20,12.5,"Fish",15,"Hard","Very Poor","HA",6,4
"171",11,34,20,12.5,"Fish",15,"Hard","Very Poor","HZ",1,0
"172",11,34,20,12.5,"Fish",15,"Hard","Very Poor","PJ",2,2
"173",11,34,20,12.5,"Fish",15,"Hard","Very Poor","PG",2,2
"174",11,34,20,12.5,"Fish",15,"Hard","Very Poor","IN",1,1
"175",11,34,20,12.5,"Fish",15,"Hard","Very Poor","IB",9,4
"176",12,42,79,15,"Yacht",2,"Ablative","Excellent","HAF",1,0
"177",12,42,79,15,"Yacht",2,"Ablative","Excellent","HC",1,1
"178",12,42,79,15,"Yacht",2,"Ablative","Excellent","PG",1,1
