"boatID","days1","days2","midTrips","boatType","boatCode","paintType","paintRating","wetWeight","LocID","Location","LocCode","samLab","wetWeight1","wetWeight2"
"87",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"IB","Internal spaces",3,"Deckwash inlet external",FALSE,TRUE
"88",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"HA","Wet Hull",1,"Hull port bow",FALSE,TRUE
"89",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"HA","Wet Hull",1,"Hull port midships",FALSE,TRUE
"90",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"HA","Wet Hull",1,"Hull port stern",FALSE,TRUE
"91",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"HA","Wet Hull",1,"Hull starboard bow",FALSE,TRUE
"92",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"HA","Wet Hull",1,"Hull starboard midships",FALSE,TRUE
"93",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"HA","Wet Hull",1,"Hull starboard stern",FALSE,TRUE
"94",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"HK","Wet Hull",1,"Paddle wheel external",FALSE,TRUE
"95",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"IF","Internal spaces",3,"Port engine cooling water",FALSE,TRUE
"96",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"IF","Internal spaces",3,"Starboard engine cooling water",FALSE,TRUE
"97",4,NA,192,NA,"Motor cruiser",17,NA,NA,0.5,"IB","Internal spaces",3,"Toilet outlet external",FALSE,TRUE
"98",4,NA,192,NA,"Motor cruiser",17,NA,NA,3,"HH","Wet Hull",1,"Depth sounder booth external",TRUE,FALSE
"99",4,NA,192,NA,"Motor cruiser",17,NA,NA,3.8,"PB","Propeller",2,"Port propeller surface",TRUE,FALSE
"100",4,NA,192,NA,"Motor cruiser",17,NA,NA,6,"HD","Wet Hull",1,"Starboard engine cooling water external",TRUE,FALSE
"101",4,NA,192,NA,"Motor cruiser",17,NA,NA,7.8,"HAB","Wet Hull",1,"Anode external",TRUE,FALSE
"102",4,NA,192,NA,"Motor cruiser",17,NA,NA,8.2,"PB","Propeller",2,"Starboard propeller surface",TRUE,FALSE
"103",4,NA,192,NA,"Motor cruiser",17,NA,NA,9.85,"PA","Propeller",2,"Port propeller shaft",TRUE,FALSE
"104",4,NA,192,NA,"Motor cruiser",17,NA,NA,13.6,"HD","Wet Hull",1,"Port engine cooling water external",TRUE,FALSE
"105",4,NA,192,NA,"Motor cruiser",17,NA,NA,16.4,"PJ","Rudder",2,"Rudder port",TRUE,FALSE
"106",4,NA,192,NA,"Motor cruiser",17,NA,NA,24.12,"HC","Wet Hull",1,"Autopilot sensor",TRUE,FALSE
"107",4,NA,192,NA,"Motor cruiser",17,NA,NA,25.57,"PJ","Rudder",2,"Rudder starboard",TRUE,FALSE
"108",4,NA,192,NA,"Motor cruiser",17,NA,NA,29.7,"PG","Propeller",2,"Starboard propeller sleeve",TRUE,FALSE
"109",4,NA,192,NA,"Motor cruiser",17,NA,NA,34.5,"PA","Propeller",2,"Starboard propeller shaft",TRUE,FALSE
"110",4,NA,192,NA,"Motor cruiser",17,NA,NA,45,"PG","Propeller",2,"Port propeller sleeve",TRUE,FALSE
"111",4,NA,192,NA,"Motor cruiser",17,NA,NA,108,"IB","Internal spaces",3,"Toilet inlet external",TRUE,FALSE
"112",5,148,222,55,"Yacht",2,"Ablative","Good",0,"PG","Propeller",2,NA,FALSE,TRUE
"113",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"IB","Internal spaces",3,"Port #1 toilet outlet scraping",FALSE,TRUE
"114",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"IA","Internal spaces",3,"Port #1 toilet outlet water",FALSE,TRUE
"115",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"HD","Wet Hull",1,"Port #4 engine intake scraping",FALSE,TRUE
"116",5,148,222,55,"Yacht",2,"Ablative","Good",0.5,"HA","Wet Hull",1,"Port quadrat #2",FALSE,TRUE
